"Scenario","q","Year","Season","FULL.SWAN","WEE.SWAN","Bias"
"S2",0.2,2013,"FALL",26524.5997612106,20825.1450203967,-0.214874297524698
"S2",0.2,2013,"SPRING",55815.8878895495,56845.3442073716,0.0184437864691721
"S2",0.2,2014,"FALL",43999.8141542168,43676.7491235664,-0.00734241807290546
"S2",0.2,2014,"SPRING",34762.1190176191,33996.3177246608,-0.0220297644274837
"S2",0.2,2015,"FALL",31778.2165528907,21231.9906127979,-0.331869660543724
"S2",0.2,2015,"SPRING",86761.5239096688,89395.3503018618,0.0303570785010092
"S2",0.2,2016,"FALL",61523.6979092283,52798.7914396208,-0.141813752523136
"S2",0.2,2016,"SPRING",26616.042904947,28132.2211641507,0.0569648262372576
"S2",0.2,2017,"FALL",466.85068399916,466.85068399916,0
"S2",0.2,2017,"SPRING",33648.5621225195,34325.7400435157,0.0201250180774589
"S2",0.2,2018,"FALL",110920.234314272,116996.511031791,0.0547805975625961
"S2",0.2,2018,"SPRING",54326.7673443041,57976.9532423305,0.0671894551518738
"S2",0.2,2019,"FALL",30684.9024948093,27829.3919680868,-0.0930591364012169
"S2",0.2,2019,"SPRING",62719.8209575627,62356.7807536384,-0.00578828508088276
"S2",0.2,2020,"SPRING",80724.9817479687,81942.084632456,0.0150771527987111
"S2",0.2,2021,"FALL",29917.3694187291,20354.5895859298,-0.319639728311565
"S2",0.2,2021,"SPRING",55526.8751319331,57214.0191527241,0.0303842781856949
"S2",0.2,2022,"FALL",31880.8842411686,35660.1462906336,0.11854320039796
"S2",0.2,2022,"SPRING",61953.7128190418,63684.8631729245,0.0279426409671225
"S1",0.4,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S1",0.4,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S1",0.4,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S1",0.4,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S1",0.4,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S1",0.4,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S1",0.4,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S1",0.4,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S1",0.4,2013,"FALL",27001.7706104411,18271.1518980345,-0.323335044888894
"S1",0.4,2013,"SPRING",55653.8229690659,55969.3689775564,0.0056697993355441
"S1",0.4,2014,"FALL",43070.560283897,40528.5317486964,-0.0590200944321359
"S1",0.4,2014,"SPRING",34609.747536451,33400.1367447354,-0.0349500033319122
"S1",0.4,2015,"FALL",32074.5585729609,18053.0326070092,-0.437154136792141
"S1",0.4,2015,"SPRING",86512.8606549356,88712.4712314172,0.0254252438288331
"S1",0.4,2016,"FALL",62408.4724255708,51054.833931229,-0.181924633836893
"S1",0.4,2016,"SPRING",26458.8290773954,27674.0512747673,0.0459287972954971
"S1",0.4,2017,"FALL",466.85068399916,466.85068399916,0
"S1",0.4,2017,"SPRING",33478.0026451252,33572.4285640336,0.00282053621625344
"S1",0.4,2018,"FALL",110751.544743828,114616.148150477,0.0348943521789061
"S1",0.4,2018,"SPRING",54261.4422244255,57748.145784021,0.0642574803886429
"S1",0.4,2019,"FALL",30208.0504473866,25971.1801990921,-0.140256328546387
"S1",0.4,2019,"SPRING",62133.0940101313,60465.0419484603,-0.0268464348709082
"S1",0.4,2020,"SPRING",80366.7137124865,81169.4871522619,0.00998887975744968
"S1",0.4,2021,"FALL",30267.3219428872,16638.5261423359,-0.450280861526768
"S1",0.4,2021,"SPRING",54585.6825353312,53930.2427924371,-0.0120075395680884
"S1",0.4,2022,"FALL",28896.0235275463,28798.9190394967,-0.00336047926999466
"S1",0.4,2022,"SPRING",61314.0427430673,61655.0213301466,0.00556118259088131
"S2",0.4,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S2",0.4,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S2",0.4,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S2",0.4,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S2",0.4,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S2",0.4,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S2",0.4,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S2",0.4,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S2",0.4,2013,"FALL",28673.4994414261,20825.1450203967,-0.273714564804409
"S2",0.4,2013,"SPRING",56454.856248499,56845.3442073716,0.00691681787575145
"S2",0.4,2014,"FALL",45565.1069282675,43676.7491235664,-0.04144306755768
"S2",0.4,2014,"SPRING",35175.8277424922,33996.3177246608,-0.0335318340329076
"S2",0.4,2015,"FALL",34440.7045883353,21231.9906127979,-0.383520434132206
"S2",0.4,2015,"SPRING",87157.4726825564,89395.3503018618,0.0256762564405254
"S2",0.4,2016,"FALL",63958.1519892777,52798.7914396208,-0.174479096136607
"S2",0.4,2016,"SPRING",26867.7133411371,28132.2211641507,0.0470642144702919
"S2",0.4,2017,"FALL",466.85068399916,466.85068399916,0
"S2",0.4,2017,"SPRING",34150.3760565449,34325.7400435157,0.005135052881422
"S2",0.4,2018,"FALL",112781.117603753,116996.511031791,0.037376765877143
"S2",0.4,2018,"SPRING",54472.3957781972,57976.9532423305,0.0643363930311289
"S2",0.4,2019,"FALL",31807.2741081427,27829.3919680868,-0.125062025954546
"S2",0.4,2019,"SPRING",63833.1870929098,62356.7807536384,-0.0231291340211868
"S2",0.4,2020,"SPRING",81106.2658364416,81942.084632456,0.0103052308893114
"S2",0.4,2021,"FALL",32690.998767435,20354.5895859298,-0.377364095519592
"S2",0.4,2021,"SPRING",57197.3636807973,57214.0191527241,0.000291193000078548
"S2",0.4,2022,"FALL",33342.6187466469,35660.1462906336,0.0695064644320946
"S2",0.4,2022,"SPRING",63074.3897336812,63684.8631729245,0.00967862617174581
"S1",0.6,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S1",0.6,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S1",0.6,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S1",0.6,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S1",0.6,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S1",0.6,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S1",0.6,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S1",0.6,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S1",0.6,2013,"FALL",28314.8058751641,16994.1553368534,-0.399813814306968
"S1",0.6,2013,"SPRING",55892.2746882989,55531.3813626488,-0.00645694467907669
"S1",0.6,2014,"FALL",43388.5797357624,38954.4230612615,-0.102196400562199
"S1",0.6,2014,"SPRING",34740.4161583035,33102.0462547727,-0.0471603418930031
"S1",0.6,2015,"FALL",33553.9736007184,16463.5536041149,-0.509341164774523
"S1",0.6,2015,"SPRING",86586.5034140128,88371.0316961949,0.0206097741774996
"S1",0.6,2016,"FALL",64068.0867237668,50182.8551770332,-0.216726177677204
"S1",0.6,2016,"SPRING",26506.0573817147,27444.9663300756,0.0354224294786522
"S1",0.6,2017,"FALL",466.85068399916,466.85068399916,0
"S1",0.6,2017,"SPRING",33643.6298734407,33195.7728242926,-0.0133117933716674
"S1",0.6,2018,"FALL",111597.641603347,113425.96670982,0.0163831876749819
"S1",0.6,2018,"SPRING",54301.5938814328,57633.7420548663,0.0613637268310987
"S1",0.6,2019,"FALL",30530.810230342,25042.0743145948,-0.179776949066763
"S1",0.6,2019,"SPRING",62396.4136040892,59519.1725458713,-0.0461122826140978
"S1",0.6,2020,"SPRING",80378.2217389818,80783.1884121648,0.00503826365427797
"S1",0.6,2021,"FALL",31829.1128793191,14780.494420539,-0.535629708670184
"S1",0.6,2021,"SPRING",54950.3305114623,52288.3546122936,-0.0484433100655041
"S1",0.6,2022,"FALL",28134.4604234744,25368.3054139282,-0.0983191064591457
"S1",0.6,2022,"SPRING",61554.5461623999,60640.1004087577,-0.0148558605440711
"S2",0.6,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S2",0.6,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S2",0.6,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S2",0.6,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S2",0.6,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S2",0.6,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S2",0.6,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S2",0.6,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S2",0.6,2013,"FALL",30822.3991216416,20825.1450203967,-0.324350290248024
"S2",0.6,2013,"SPRING",57093.8246074485,56845.3442073716,-0.00435214144060833
"S2",0.6,2014,"FALL",47130.3997023182,43676.7491235664,-0.0732786184833041
"S2",0.6,2014,"SPRING",35589.5364673652,33996.3177246608,-0.0447664932125582
"S2",0.6,2015,"FALL",37103.1926237799,21231.9906127979,-0.427758391896711
"S2",0.6,2015,"SPRING",87553.421455444,89395.3503018618,0.0210377711778536
"S2",0.6,2016,"FALL",66392.6060693271,52798.7914396208,-0.204748923630316
"S2",0.6,2016,"SPRING",27119.3837773271,28132.2211641507,0.0373473599230662
"S2",0.6,2017,"FALL",466.85068399916,466.85068399916,0
"S2",0.6,2017,"SPRING",34652.1899905704,34325.7400435157,-0.00942075947129253
"S2",0.6,2018,"FALL",114642.000893233,116996.511031791,0.0205379365347154
"S2",0.6,2018,"SPRING",54618.0242120902,57976.9532423305,0.0614985451908158
"S2",0.6,2019,"FALL",32929.6457214761,27829.3919680868,-0.15488334725882
"S2",0.6,2019,"SPRING",64946.553228257,62356.7807536384,-0.0398754413573997
"S2",0.6,2020,"SPRING",81487.5499249145,81942.084632456,0.00557796507515951
"S2",0.6,2021,"FALL",35464.6281161409,20354.5895859298,-0.426059409976842
"S2",0.6,2021,"SPRING",58867.8522296616,57214.0191527241,-0.0280939938234096
"S2",0.6,2022,"FALL",34804.3532521252,35660.1462906336,0.0245886780975063
"S2",0.6,2022,"SPRING",64195.0666483206,63684.8631729245,-0.00794770536170859
"S1",0.8,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S1",0.8,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S1",0.8,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S1",0.8,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S1",0.8,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S1",0.8,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S1",0.8,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S1",0.8,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S1",0.8,2013,"FALL",29627.8411398871,15717.1587756724,-0.469513870367259
"S1",0.8,2013,"SPRING",56130.7264075318,55093.3937477412,-0.0184806562498256
"S1",0.8,2014,"FALL",43706.5991876279,37380.3143738265,-0.144744384861501
"S1",0.8,2014,"SPRING",34871.084780156,32803.9557648101,-0.0592791715077999
"S1",0.8,2015,"FALL",35033.3886284758,14874.0746012206,-0.575431461713336
"S1",0.8,2015,"SPRING",86660.14617309,88029.5921609727,0.0158024887835688
"S1",0.8,2016,"FALL",65727.7010219627,49310.8764228373,-0.249770254304799
"S1",0.8,2016,"SPRING",26553.2856860339,27215.881385384,0.0249534354122737
"S1",0.8,2017,"FALL",466.85068399916,466.85068399916,0
"S1",0.8,2017,"SPRING",33809.2571017563,32819.1170845515,-0.0292860625190539
"S1",0.8,2018,"FALL",112443.738462866,112235.785269163,-0.00184939772143624
"S1",0.8,2018,"SPRING",54341.74553844,57519.3383257115,0.0584742495071997
"S1",0.8,2019,"FALL",30853.5700132974,24112.9684300975,-0.218470717660705
"S1",0.8,2019,"SPRING",62659.7331980471,58573.3031432823,-0.0652162057864007
"S1",0.8,2020,"SPRING",80389.7297654772,80396.8896720679,8.90649416485716e-05
"S1",0.8,2021,"FALL",33390.9038157511,12922.4626987421,-0.612994521800086
"S1",0.8,2021,"SPRING",55314.9784875935,50646.4664321501,-0.0843986960329469
"S1",0.8,2022,"FALL",27372.8973194023,21937.6917883598,-0.198561572332716
"S1",0.8,2022,"SPRING",61795.0495817324,59625.1794873688,-0.0351139793405886
"S2",0.8,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S2",0.8,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S2",0.8,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S2",0.8,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S2",0.8,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S2",0.8,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S2",0.8,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S2",0.8,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S2",0.8,2013,"FALL",32971.2988018571,20825.1450203967,-0.368385663375089
"S2",0.8,2013,"SPRING",57732.792966398,56845.3442073716,-0.01537165817602
"S2",0.8,2014,"FALL",48695.6924763689,43676.7491235664,-0.103067501406579
"S2",0.8,2014,"SPRING",36003.2451922382,33996.3177246608,-0.0557429603043135
"S2",0.8,2015,"FALL",39765.6806592246,21231.9906127979,-0.466072496162023
"S2",0.8,2015,"SPRING",87949.3702283315,89395.3503018618,0.0164410509111809
"S2",0.8,2016,"FALL",68827.0601493765,52798.7914396208,-0.23287742749682
"S2",0.8,2016,"SPRING",27371.0542135172,28132.2211641507,0.027809193781714
"S2",0.8,2017,"FALL",466.85068399916,466.85068399916,0
"S2",0.8,2017,"SPRING",35154.0039245958,34325.7400435157,-0.0235610112252561
"S2",0.8,2018,"FALL",116502.884182714,116996.511031791,0.00423703543942171
"S2",0.8,2018,"SPRING",54763.6526459833,57976.9532423305,0.058675790256713
"S2",0.8,2019,"FALL",34052.0173348094,27829.3919680868,-0.182738817073301
"S2",0.8,2019,"SPRING",66059.9193636041,62356.7807536384,-0.0560572680929725
"S2",0.8,2020,"SPRING",81868.8340133874,81942.084632456,0.000894731431702303
"S2",0.8,2021,"FALL",38238.2574648469,20354.5895859298,-0.467690450992906
"S2",0.8,2021,"SPRING",60538.3407785257,57214.0191527241,-0.0549126649830617
"S2",0.8,2022,"FALL",36266.0877576035,35660.1462906336,-0.0167082115672335
"S2",0.8,2022,"SPRING",65315.74356296,63684.8631729245,-0.0249691774306058
"S1",1,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S1",1,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S1",1,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S1",1,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S1",1,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S1",1,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S1",1,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S1",1,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S1",1,2013,"FALL",30940.8764046101,14440.1622144913,-0.533298216066699
"S1",1,2013,"SPRING",56369.1781267648,54655.4061328336,-0.0304026429137783
"S1",1,2014,"FALL",44024.6186394933,35806.2056863915,-0.186677663704491
"S1",1,2014,"SPRING",35001.7534020084,32505.8652748474,-0.0713075170404973
"S1",1,2015,"FALL",36512.8036562332,13284.5955983262,-0.636166104268513
"S1",1,2015,"SPRING",86733.7889321672,87688.1526257503,0.0110033668001001
"S1",1,2016,"FALL",67387.3153201586,48438.8976686415,-0.281186712387825
"S1",1,2016,"SPRING",26600.5139903532,26986.7964406923,0.0145216160288927
"S1",1,2017,"FALL",466.85068399916,466.85068399916,0
"S1",1,2017,"SPRING",33974.8843300719,32442.4613448105,-0.0451045828551952
"S1",1,2018,"FALL",113289.835322384,111045.603828506,-0.0198096456534841
"S1",1,2018,"SPRING",54381.8971954472,57404.9345965568,0.0555890389451636
"S1",1,2019,"FALL",31176.3297962527,23183.8625456002,-0.256363314825248
"S1",1,2019,"SPRING",62923.052792005,57627.4337406933,-0.0841602372474936
"S1",1,2020,"SPRING",80401.2377919726,80010.5909319708,-0.00485871698906607
"S1",1,2021,"FALL",34952.6947521831,11064.4309769452,-0.683445552470482
"S1",1,2021,"SPRING",55679.6264637246,49004.5782520066,-0.119883135639691
"S1",1,2022,"FALL",26611.3342153304,18507.0781627913,-0.304541515542289
"S1",1,2022,"SPRING",62035.5530010649,58610.2585659799,-0.0552150221829441
"S2",1,2009,"FALL",52684.4961631341,55167.679993085,0.0471331038691513
"S2",1,2009,"SPRING",63312.9097300085,66149.8876625406,0.044808838270585
"S2",1,2010,"FALL",23994.3479236873,24559.341918915,0.0235469618522093
"S2",1,2010,"SPRING",63677.4131509173,68031.8693976833,0.0683830581566782
"S2",1,2011,"FALL",40797.2547777844,36049.293274144,-0.116379436055238
"S2",1,2011,"SPRING",67848.4416010909,67614.661331585,-0.00344562474817621
"S2",1,2012,"FALL",45011.9086431003,43054.2735713882,-0.043491492156758
"S2",1,2012,"SPRING",50877.4677172131,52588.1404654654,0.0336233862455686
"S2",1,2013,"FALL",35120.1984820726,20825.1450203967,-0.407032251511133
"S2",1,2013,"SPRING",58371.7613253475,56845.3442073716,-0.0261499239241401
"S2",1,2014,"FALL",50260.9852504196,43676.7491235664,-0.131000936293787
"S2",1,2014,"SPRING",36416.9539171112,33996.3177246608,-0.0664700347524951
"S2",1,2015,"FALL",42428.1686946692,21231.9906127979,-0.499577962801266
"S2",1,2015,"SPRING",88345.3190012191,89395.3503018618,0.0118855340895675
"S2",1,2016,"FALL",71261.5142294258,52798.7914396208,-0.259084065072831
"S2",1,2016,"SPRING",27622.7246497073,28132.2211641507,0.0184448319600796
"S2",1,2017,"FALL",466.85068399916,466.85068399916,0
"S2",1,2017,"SPRING",35655.8178586213,34325.7400435157,-0.0373032479686621
"S2",1,2018,"FALL",118363.767472195,116996.511031791,-0.0115513088980138
"S2",1,2018,"SPRING",54909.2810798763,57976.9532423305,0.055868008142224
"S2",1,2019,"FALL",35174.3889481428,27829.3919680868,-0.208816619128328
"S2",1,2019,"SPRING",67173.2854989513,62356.7807536384,-0.0717026822424533
"S2",1,2020,"SPRING",82250.1181018603,81942.084632456,-0.00374508239639027
"S2",1,2021,"FALL",41011.8868135528,20354.5895859298,-0.503690486651704
"S2",1,2021,"SPRING",62208.8293273899,57214.0191527241,-0.080291017025563
"S2",1,2022,"FALL",37727.8222630818,35660.1462906336,-0.0548050708580522
"S2",1,2022,"SPRING",66436.4204775995,63684.8631729245,-0.0414163990909587
